Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no aadhaar,no adhar,aadhar card not made,no birth certificate,lack of Aadhar card,no ID,no id proof,no legal document,no identity proof,enrollment barriers,admission refused,adhar,aadhaar,certificate not made,document pending,lack aadhar,having aadhar,birth certificate,unable study,Aadhaar card errors,date of birth missing,name mismatch,no birth date,birth certificate pending,enrollment blocked,documents not accepted,UID not made,government ID,aadhar errors,aadhaar update,not enrolled due to document,admission refused without document,no documents for school,identity not proven,date of birth not recorded,certificate not available,proper documentation,caste certificate,residence certificate,child registration,non enrolment,wrong name",Approved,130,28641 | To help children obtain Aadhaar cards and improve their access to education and other benefits | 0.8113
,,,,,,28817 | To help a girl attend school with community support | 0.7263
,,,,,,9584 | To improve access to education for girls from poor financial backgrounds | 0.7929
,,,,,,16029 | To empower girls to pursue higher education despite financial constraints | 0.83
,,,,,,15153 | To educate girls from poor families by enrolling them in government schools where they can get scholarships and other facilities. | 0.7749
,,,,,,4012 | To help a girl attend school and overcome poverty and drug addiction | 0.7276
,,,,,,"3885 | To help a teenage girl who had stopped going to school for 4 years due to eye problems and societal pressure, and to encourage her to continue her education | 0.7345"
,,,,,,5685 | To address the issue of girls not attending school and to prevent violence against them | 0.7781
,,,,,,4112 | To encourage girls to attend school and continue their education | 0.9393
,,,,,,9754 | To encourage girls to continue their studies despite obstacles | 0.8573
,,,,,,16670 | To encourage girls to continue their education | 0.9381
,,,,,,10420 | To address the issue of drop-out children by creating awareness about education and its importance | 0.6148
,,,,,,3963 | To ensure girls can attend school safely and confidently | 0.7963
,,,,,,15260 | To encourage girls to pursue further studies despite the distance to school | 0.8375
,,,,,,15278 | To support girls in the community to pursue their education and aim for good marks in their exams | 0.8241
,,,,,,"15301 | To ensure a girl attends school by providing her with a dress, thereby empowering her through education | 0.7202"
,,,,,,28835 | To engage girls in education and prevent them from being deprived of further education | 0.9129
,,,,,,17107 | To improve the regular attendance of girls in school by addressing parental dissatisfaction and lack of awareness about the importance of education | 0.7622
,,,,,,15325 | To educate girls from poor families and encourage them to continue their education | 0.8902
,,,,,,"15331 | To support a girl from a poor family in completing her matriculation exam by getting her admitted to the Stop Centre, which provides free education | 0.6304"
,,,,,,4089 | To provide educational support to teenage girls from poor financial backgrounds | 0.8036
,,,,,,3930 | To empower girls through education and ensure they complete their studies | 0.9175
,,,,,,3897 | To continue studying after dropping out of school | 0.4964
,,,,,,15435 | To encourage girls to pursue education and continue their studies | 0.9376
,,,,,,15438 | To encourage girls to pursue higher education and promote equality in educational opportunities | 0.8341
,,,,,,4102 | To empower girls in the community by encouraging them to pursue higher education and overcome financial and household constraints | 0.8567
,,,,,,15480 | To empower adolescent girls in the community to pursue higher education and make informed decisions about their lives | 0.8139
,,,,,,15298 | To encourage teenage girls to continue their education and participate in school activities | 0.8726
,,,,,,"5342 | To support and encourage girls to pursue their education, despite financial constraints and societal pressures | 0.9025"
,,,,,,"13847 | To address the issue of girls dropping out of school due to gender discrimination, distance, and safety concerns, and to promote girls' education | 0.8083"
,,,,,,6819 | To help a girl get admission to graduation by convincing her parents and providing necessary support | 0.7563
,,,,,,15572 | To educate girls and empower them to break the cycle of poverty | 0.7587
,,,,,,15682 | To educate girls about the importance of education and motivate them to pursue higher education | 0.8817
,,,,,,16240 | To increase girls' attendance in school by addressing the issue of distance and lack of awareness about education | 0.8074
,,,,,,16257 | To encourage girls to continue their education and empower them through knowledge | 0.9078
,,,,,,10515 | To provide uniforms and study materials to adolescent girls in school | 0.6279
,,,,,,15086 | To encourage girls to continue their education beyond 9th standard and support them in reappearing for the Matriculation examination | 0.7812
,,,,,,10534 | To increase the number of women attending school by providing bicycles and encouraging parents to support their children | 0.6595
,,,,,,4143 | To educate girls and support their admission to school | 0.9063
,,,,,,15681 | To help girls stay in school despite financial difficulties | 0.8081
,,,,,,16033 | To encourage girls who had dropped out of school to re-enroll and continue their education | 0.8469
,,,,,,"5005 | To address the problem of boys dropping out of school due to social expectations and family pressures, and to encourage them to pursue higher education. | 0.7483"
,,,,,,4256 | To provide education to girls from poor families who cannot afford admission fees | 0.7656
,,,,,,4391 | To help a girl child who dropped out of school due to poverty and pressure from parents to continue her education | 0.7673
,,,,,,15757 | To encourage girls to attend school | 0.907
,,,,,,16222 | To pursue higher education and career goals despite financial and societal challenges | 0.5112
,,,,,,4157 | To improve girls' attendance in school and empower them through education | 0.8785
,,,,,,15376 | To empower girls through education and encourage them to pursue their studies | 0.9226
,,,,,,4007 | To promote girls' education and challenge traditional mindsets that hinder their academic pursuits | 0.803
,,,,,,4033 | To empower girls through education and help them overcome obstacles that prevent them from pursuing their studies | 0.9099
,,,,,,16304 | To help Payal continue her education despite financial constraints | 0.6079
,,,,,,16333 | To educate girls from poor financial backgrounds | 0.7817
,,,,,,4032 | To ensure every girl child has access to higher education | 0.8643
,,,,,,9392 | To empower girls through education and make them aware of the benefits of higher education | 0.8803
,,,,,,29124 | To empower girls through education and encourage them to pursue their studies beyond the 8th grade | 0.865
,,,,,,14900 | To ensure the daughter feels safe at school after being harassed | 0.5414
,,,,,,28485 | To educate the girl child who had discontinued her studies after 8th class | 0.7058
,,,,,,28490 | To help a girl who was unable to attend school due to illness and get her admitted to a school and prepare for her matriculation exam | 0.6761
,,,,,,29303 | To motivate adolescent girls to attend school regularly and understand the importance of education | 0.8582
,,,,,,"29407 | To encourage and support dropout children in resuming their studies, addressing the issue of low morale and lack of understanding of education | 0.6509"
,,,,,,29410 | To empower girls through education and encourage them to pursue further studies | 0.918
,,,,,,29482 | To increase girls' attendance in school by providing bicycles and motivating parents | 0.6992
,,,,,,40450 | To ensure girls have access to education and overcome obstacles that prevent them from attending school | 0.9039
,,,,,,"33450 | To ensure teenage girls receive their scholarships and attend school regularly, addressing the issue of scholarship cuts and its impact on their education | 0.7649"
,,,,,,40441 | To empower girls to take an interest in their studies and complete their education | 0.887
,,,,,,40473 | To encourage girls to attend school regularly and understand the importance of education | 0.9135
,,,,,,40481 | To empower girls through education and encourage them to pursue their studies | 0.9226
,,,,,,40417 | To ensure that no girl child remains out of school and everyone is connected to the mainstream of school so that they can get education at least till 12th standard | 0.8184
,,,,,,33123 | To address the issue of distance from home to school for female adolescents by implementing a solution that encourages walking to school | 0.6546
,Enhancing School-Based Mental Health Services,"This theme encompasses initiatives aimed at bolstering mental health support within educational settings, specifically addressing the critical shortage of qualified mental health professionals. It focuses on advocating for and implementing strategies to increase the availability of counselors and psychologists to ensure the comprehensive mental health and well-being of students.","school mental health,student well-being,mental health specialists,counseling services,psychological support,advocacy",Draft,148,15201 | To improve mental health support in schools | 0.891
,,,,,,15789 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29175 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29176 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29177 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29074 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29075 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29076 | To address the lack of mental health specialists in schools | 0.959
,,,,,,29077 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29078 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28767 | To ensure the mental health and well-being of students by advocating for the appointment of counselors or psychologists in schools | 0.7823
,,,,,,28768 | To address the lack of mental health specialists in schools by advocating for the appointment of counselors or psychologists. | 0.8886
,,,,,,29079 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29080 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28777 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28778 | To address the lack of mental health specialists in schools and provide support for students | 0.9949
,,,,,,29081 | To provide mental health support to students in schools by appointing counselors or psychologists | 0.8356
,,,,,,28780 | To improve mental health support in schools by hiring counselors or psychologists | 0.8046
,,,,,,29082 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15852 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28781 | To address the lack of mental health specialists in schools and provide support to children | 0.9666
,,,,,,28782 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29083 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28783 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28784 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28788 | To address the lack of mental health specialists in schools and ensure the well-being of students | 0.9531
,,,,,,29084 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29085 | To address the lack of mental health specialists in schools | 0.959
,,,,,,29087 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29088 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15710 | To address the lack of mental health specialists in schools and promote women's leadership in education | 0.761
,,,,,,15714 | To address the lack of mental health specialists in schools and provide support for students | 0.9949
,,,,,,15715 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15781 | To address the lack of mental health specialists in schools | 0.959
,,,,,,15780 | To address the lack of mental health specialists in schools | 0.959
,,,,,,15847 | To raise awareness about the importance of mental health in schools and to advocate for the appointment of counselors or psychologists. | 0.7972
,,,,,,15858 | To ensure the mental health and well-being of students by having mental health specialists in schools | 0.8876
,,,,,,15854 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15875 | To improve mental health support in schools by appointing counselors or psychologists | 0.8057
,,,,,,15788 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15774 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15698 | To address the lack of mental health specialists in schools by petitioning the government for support | 0.8707
,,,,,,15705 | To address the lack of mental health specialists in schools by submitting a petition to the government and the Principal Secretary of the School Education and Literacy Department | 0.7551
,,,,,,15703 | To prioritize children's mental health | 0.6369
,,,,,,15707 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.9846
,,,,,,15711 | To address the lack of mental health specialists in schools by advocating for the appointment of counselors or psychologists. | 0.8886
,,,,,,15716 | To improve mental health support for students by advocating for the appointment of counselors or psychologists in schools | 0.8075
,,,,,,15712 | To address the lack of mental health specialists in schools and ensure students receive proper support. | 0.9648
,,,,,,15736 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15719 | To address the lack of mental health specialists in schools by petitioning the government and the Principal Secretary of the School Education and Literacy Department | 0.7716
,,,,,,15739 | To address the lack of mental health specialists in schools | 0.959
,,,,,,15732 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.9846
,,,,,,15752 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.9846
,,,,,,15733 | To improve mental health support in schools by appointing counselors or psychologists | 0.8057
,,,,,,15731 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15749 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.9846
,,,,,,15762 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15769 | To address the lack of mental health specialists in schools by advocating for policy change and community engagement. | 0.8056
,,,,,,15763 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,"15751 | To address the lack of mental health specialists in schools, a petition was submitted to the government to appoint counselors or psychologists for the mental health of children. | 0.7194"
,,,,,,15770 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15766 | To address the lack of mental health specialists in schools | 0.959
,,,,,,"15773 | To address the lack of mental health specialists in schools, a petition letter was submitted to the government and Honorable Madhu Bangarappa | 0.6461"
,,,,,,15799 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15802 | To address the lack of mental health specialists in schools | 0.959
,,,,,,15791 | To address the lack of mental health specialists in schools and promote community involvement in education | 0.8914
,,,,,,15798 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.9846
,,,,,,15840 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15806 | To address the lack of mental health specialists in schools | 0.959
,,,,,,15839 | To provide mental health support to students in schools | 0.8937
,,,,,,15843 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15841 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15849 | To raise awareness about the importance of mental health in schools and to ensure that children have access to mental health specialists. | 0.8213
,,,,,,15861 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15868 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15870 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15885 | To address the lack of mental health specialists in schools by advocating for their appointment | 0.9018
,,,,,,15862 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15863 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15856 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15880 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15881 | To improve mental health support for students by advocating for the appointment of counselors or psychologists in schools | 0.8075
,,,,,,15871 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15876 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15884 | To address the lack of mental health specialists in schools and provide adequate support to students | 0.9895
,,,,,,15886 | To address the lack of mental health specialists in schools by advocating for the appointment of counselors or psychologists | 0.8903
,,,,,,29037 | To address the lack of mental health specialists in schools and provide support for students | 0.9949
,,,,,,29040 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15717 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15796 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15718 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29041 | To address the lack of mental health specialists in schools by advocating for their appointment | 0.9018
,,,,,,29042 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29043 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29044 | To address the lack of mental health specialists in schools | 0.959
,,,,,,29168 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29045 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15709 | To address the lack of mental health specialists in schools by advocating for the appointment of counselors or psychologists. | 0.8886
,,,,,,15748 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.9846
,,,,,,15706 | To improve mental health support in schools by appointing counselors or psychologists | 0.8057
,,,,,,15708 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15790 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15750 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15777 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15778 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,"15764 | To address the lack of mental health specialists in schools, we aimed to raise awareness and petition for change. | 0.693"
,,,,,,15800 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15772 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15804 | To address the lack of mental health specialists in schools | 0.959
,,,,,,15853 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15864 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15795 | To address the lack of mental health specialists in schools by advocating for the appointment of counselors or psychologists. | 0.8886
,,,,,,15859 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15887 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15888 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,16083 | To provide mental health support to children in schools by appointing counselors or psychologists | 0.8142
,,,,,,16084 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29046 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15767 | To improve mental health support in schools by appointing counselors or psychologists | 0.8057
,,,,,,"15785 | To address the lack of mental health specialists in schools, Women Leader Hamsaveni took initiative to solve the problem by writing letters to key officials. | 0.4929"
,,,,,,29047 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29050 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29169 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29051 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29170 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29171 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29172 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29173 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29174 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29355 | To provide mental health support to students in schools | 0.8937
,,,,,,29356 | To address the lack of mental health specialists in schools and provide necessary support to students | 0.991
,,,,,,29358 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29357 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29359 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29360 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29361 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29362 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29363 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,32706 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,32747 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,32722 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,32702 | To address the lack of mental health specialists in schools and provide students with necessary support | 0.9882
,,,,,,32728 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,32736 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,32741 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,32717 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,32734 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,32697 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,Empowering Girls Through Education to Prevent Child Marriage,"This theme encompasses initiatives aimed at leveraging education as a primary tool to empower girls and adolescent females, thereby preventing child marriage. It focuses on raising awareness about the detrimental consequences of early unions and equipping girls with the knowledge and agency to make informed decisions about their futures, including delaying marriage until adulthood and pursuing educational and economic opportunities.","girl empowerment,education,child marriage prevention,adolescent girls,awareness campaigns,informed decision-making",Draft,141,28523 | To educate girls and avoid child marriage | 0.9321
,,,,,,8061 | To prevent child marriages by creating awareness | 0.7741
,,,,,,28537 | To promote education and prevent child marriage and child labor | 0.8337
,,,,,,15007 | To empower girls through education and ensure they get married at a suitable age | 0.8941
,,,,,,28543 | To educate Radhika and prevent child marriage | 0.692
,,,,,,28608 | To empower adolescent girls through education and prevent child marriage | 0.8831
,,,,,,15511 | To empower daughters-in-law to pursue their education and become financially independent | 0.6248
,,,,,,14941 | To educate girls and stop early marriage | 0.9039
,,,,,,28613 | To raise awareness about the importance of education and prevent child marriage in Balbhadra village | 0.6787
,,,,,,28617 | To educate girls and empower them to build a better future for themselves and their children | 0.8036
,,,,,,40610 | To stop child marriage and ensure education for children in Gurhani village | 0.7274
,,,,,,"40625 | To empower girls in the village panchayat to make their own decisions and take control of their lives through education, preventing child marriage | 0.805"
,,,,,,3837 | To prevent child marriage in Jakkalli by conducting an awareness program on its consequences | 0.6594
,,,,,,40699 | To prevent child marriage and promote education among boys and girls in the village | 0.8332
,,,,,,40821 | To educate girls and empower them to make informed decisions about their lives | 0.799
,,,,,,40845 | To empower girls through education and prevent child labor | 0.8108
,,,,,,40799 | To empower girls through education and reduce child marriage | 0.9309
,,,,,,40865 | To prevent child marriage and promote education among teenage girls | 0.8609
,,,,,,40921 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,4142 | To address the issue of girls not attending school and child marriage in the community | 0.8276
,,,,,,41043 | To educate girls about the importance of education and the negative impacts of child marriage | 0.8902
,,,,,,7214 | To educate women and girls in rural areas and empower them to make informed decisions about their lives | 0.7348
,,,,,,41071 | To educate girls and empower them to take control of their lives | 0.7831
,,,,,,41176 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,41184 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,41190 | To promote girl education and empower them to make informed decisions about their lives | 0.8226
,,,,,,"41219 | To prevent child marriage and encourage girls to continue their studies, thereby empowering them to make informed decisions about their lives. | 0.8348"
,,,,,,4035 | To empower a minor girl to complete her education by raising awareness about the importance of education and the legal implications of marrying a minor | 0.7436
,,,,,,41267 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,41268 | To empower girls through education and reduce child marriage | 0.9309
,,,,,,41287 | To educate girls and empower them to make informed decisions about their lives | 0.799
,,,,,,40543 | To educate girls and prevent child marriage | 0.9443
,,,,,,40545 | To encourage girls' education in rural Rohtas by advising parents to educate their daughters at least until they grow up and then marry them off | 0.822
,,,,,,41430 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,41452 | To educate the girl child and prevent child marriage | 0.9168
,,,,,,41513 | To educate girls and prevent them from suffering | 0.7562
,,,,,,41523 | To educate girls and improve their lives | 0.7713
,,,,,,49000 | To educate girls and empower them to make right decisions | 0.7926
,,,,,,49028 | To educate parents about the importance of girls' education and to stop child marriage | 0.9135
,,,,,,49026 | To encourage girls to study and not get married at a young age | 0.7713
,,,,,,5803 | To educate girls and prevent child marriage | 0.9443
,,,,,,6924 | To increase the age of education and prevent child marriage by improving teacher accountability and community awareness | 0.708
,,,,,,4254 | To raise awareness against child marriage and promote education among girls | 0.8782
,,,,,,4289 | To reduce child marriage by raising awareness through rallies and slogans | 0.6842
,,,,,,8066 | To educate women about the problems caused by child marriage and encourage them to cooperate in preventing it | 0.8787
,,,,,,"7972 | To ensure every child, regardless of gender, has access to education and to prevent early marriage. | 0.771"
,,,,,,28720 | To create awareness about the negative impacts of child marriage among children and to encourage them to report such cases. | 0.7301
,,,,,,16487 | To educate girls and empower them for a better future | 0.7944
,,,,,,5700 | To stop child marriage and empower girls | 0.8715
,,,,,,7598 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,18142 | To educate villagers about the importance of educating their children before marriage and preventing child marriage | 0.7884
,,,,,,28744 | To create awareness among children about the problems caused by child marriage and to prevent it | 0.7719
,,,,,,28752 | To stop child marriage in the village | 0.7213
,,,,,,"8368 | To ensure all girls in the community attend school and receive an education, addressing the issue of girls being deprived of education and married before the age of 18 | 0.8026"
,,,,,,8530 | To ensure girls attend school regularly and delay marriage until the age of 18 | 0.823
,,,,,,16474 | To prevent child marriage by educating children and their parents about its negative consequences and promoting self-reliance | 0.8141
,,,,,,9212 | To educate parents about the importance of not marrying their children before the age of 18 and to encourage them to educate their children | 0.8122
,,,,,,15046 | To create awareness about education and curb child marriage | 0.837
,,,,,,10450 | To encourage girls to attend school and prevent child marriage | 0.8997
,,,,,,10397 | To reduce early marriage and promote education among girls in the community | 0.8214
,,,,,,10470 | To prevent child marriage by educating parents and adolescents about its negative consequences and promoting vocational training for adolescent empowerment | 0.7259
,,,,,,4205 | To prevent child marriage and encourage girls to pursue their education by engaging grandparents and the community | 0.8839
,,,,,,12586 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,28792 | To create awareness about the importance of education for girls and the legal consequences of child marriage | 0.8853
,,,,,,11473 | To empower daughters through education and delay their marriage until they are ready | 0.8471
,,,,,,4196 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,"15053 | To educate parents about the importance of education for girls and the legal consequences of child marriage, and to encourage them to support their daughters | 0.88"
,,,,,,16260 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,15513 | To educate women about the problems caused by child marriage and empower them to make informed decisions | 0.8743
,,,,,,"13887 | To raise awareness about child marriage among children in Varuna, Mysuru, Karnataka | 0.6216"
,,,,,,23288 | To improve school safety and education for girls by building a boundary and promoting education over early marriage | 0.8419
,,,,,,27237 | To empower women and children through education and prevent child marriage | 0.9025
,,,,,,8060 | To educate women about the problems caused by child marriage and encourage them to take action against it | 0.8654
,,,,,,7875 | To solve the problem of child marriage in the village | 0.6721
,,,,,,13909 | To educate and raise awareness about the negative impacts of child marriage among the community | 0.744
,,,,,,8540 | To create awareness about the negative effects of child marriage and promote education among girls | 0.8735
,,,,,,11101 | To educate and empower women against child marriage through door-to-door awareness campaigns | 0.6787
,,,,,,11113 | To educate and empower women against child marriage through door-to-door awareness campaigns | 0.6787
,,,,,,13443 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,3985 | To create awareness about the importance of higher education for girls and the harmful effects of child marriage and mismatched marriages | 0.8127
,,,,,,13917 | To educate children about the problems caused by child marriage and promote awareness | 0.8362
,,,,,,4259 | To encourage girls to pursue education and delay marriage | 0.8776
,,,,,,4262 | To empower girls and prevent child marriage through education and awareness | 0.9505
,,,,,,28820 | To educate girls and delay their marriage until they are 18 years old | 0.843
,,,,,,16501 | To educate girls and empower them to make informed decisions about their lives | 0.799
,,,,,,8075 | To create awareness about child marriage in schools | 0.783
,,,,,,9387 | To raise awareness about the negative effects of child marriage and promote education as a means to prevent it | 0.8554
,,,,,,10457 | To educate girls and women in rural areas and delay child marriages | 0.7894
,,,,,,11478 | To ensure girls in Amma Bigha village can safely attend school by building a road and addressing the issue of child marriage | 0.686
,,,,,,15484 | To educate girls about the harm caused by early marriage | 0.8513
,,,,,,20637 | To educate girls and empower them to take control of their lives | 0.7831
,,,,,,3854 | To increase the education of girls in the community by stopping child marriage | 0.8973
,,,,,,15277 | To resolve the problem of girls leaving school after fifth or eighth grade due to child marriage | 0.7193
,,,,,,15281 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,4155 | To stop child marriage in Peerapur village by educating parents and community members about its harmful effects and legal consequences | 0.7193
,,,,,,4034 | To promote girl education and eliminate child marriage in the community | 0.8877
,,,,,,3974 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,12908 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,3969 | To empower girls in the community by delaying marriages until they complete their education | 0.8783
,,,,,,3757 | To empower women to take a stand against child marriage and create a positive impact in their community | 0.7947
,,,,,,4140 | To stop child marriage and encourage girls to study by celebrating Grandparents Day | 0.7118
,,,,,,28853 | To empower girls through education and stop child marriage | 0.9432
,,,,,,29104 | To motivate girls to pursue education and reduce child marriage | 0.8776
,,,,,,15483 | To prevent early marriage by educating the girl and her parents about its harmful effects | 0.8342
,,,,,,15566 | To educate girls and empower them to make informed decisions about their lives | 0.799
,,,,,,17514 | To educate women and prevent child marriage in the community | 0.8738
,,,,,,7823 | To delay the marriage of children until they are 18 years old | 0.6782
,,,,,,20817 | To empower girls through education by addressing the problem of early marriage and lack of access to education | 0.9086
,,,,,,16368 | To educate children about the problems caused by child marriage and gender sensitization | 0.7898
,,,,,,21524 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,8015 | To educate girls and prevent child marriage | 0.9443
,,,,,,13380 | To empower girls through education and prevent child marriage | 0.9555
,,,,,,17368 | To address child marriage and drug addiction in Village Gandhinagar by educating children and taking legal action against drug addicts | 0.5687
,,,,,,21749 | To educate girls and empower them to make their own decisions | 0.7809
,,,,,,"5033 | Prevent dropouts due to early marriage or abuse by identifying at-risk girls, intervening through counseling and legal referrals, and promoting continuing education as an alternative to early marriage | 0.6254"
,,,,,,12249 | To raise awareness about the problems caused by child marriage and empower women to take action against it | 0.8281
